"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00009210. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00009210";"process_id";"Bruno Costa";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00009210. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00009210";"process_id";;;;;;
"Register request";"Request PROC.2026.00009386 was registered by Clara Reis for project Digital Campus, with an estimated amount of 6.677,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6677,25 €";"amount";"PROC.2026.00009386";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00009386 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00009386";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00009386, in the amount of 6.677,25€, under budget record BUD.2026.00009312. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6677,25 €";"amount";"BUD.2026.00009312";"budget_id";"PROC.2026.00009386";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00009386, in the amount of 6.677,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6677,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00009386";"process_id";;
"Commit expense";"Commitment COM.2026.00009379 was generated for process PROC.2026.00009386, in the amount of 6.677,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6677,25 €";"amount";"COM.2026.00009379";"commitment_id";"PROC.2026.00009386";"process_id";;
"Issue order";"Order ORD.2026.00009348 was issued for process PROC.2026.00009386. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00009348";"order_id";"PROC.2026.00009386";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00009386. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00009386";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00009386 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00009386";"process_id";;;;;;
"Register request";"Request PROC.2026.00009446 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 2.780,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2780,25 €";"amount";"PROC.2026.00009446";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
